ins_idx,latency(cycles),latency(ns)
1,12820,51280
2,79980,319920
3,20212,80848
4,40134,160536
5,20211,80844
6,20212,80848
7,20211,80844
8,20212,80848
9,3168,12672
10,1600,6400
11,1600,6400
12,1600,6400
13,1600,6400
14,20211,80844
15,7656,30624
16,10860,43440
17,6896,27584
18,6896,27584
19,6895,27580
20,6895,27580
21,816,3264
22,816,3264
23,816,3264
24,816,3264
25,816,3264
26,12328,49312
27,4776,19104
28,6794,27176
29,2728,10912
30,2728,10912
31,2728,10912
32,2728,10912
33,448,1792
34,240,960
35,240,960
36,240,960
37,240,960
38,8691,34764
39,1894,7576
40,2728,10912
41,1000,4000
42,1000,4000
43,1000,4000
44,1000,4000
45,224,896
46,96,384
47,96,384
48,96,384
49,96,384
50,4038,16152
51,12710,50840
52,8509,34036
