ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,21843,87372,0.09,2.11,43352064,43.35,496.18,34.20
2,Conv,173328,693312,0.69,16.78,924844032,924.84,1333.95,91.95
3,Conv,86766,347064,0.35,8.40,462422016,462.42,1332.38,91.85
4,Conv,86766,347064,0.35,8.40,462422016,462.42,1332.38,91.85
5,Conv,43484,173936,0.17,4.21,231211008,231.21,1329.29,91.63
6,Conv,43481,173924,0.17,4.21,231211008,231.21,1329.38,91.64
7,Conv,43480,173920,0.17,4.21,231211008,231.21,1329.41,91.64
8,Conv,43480,173920,0.17,4.21,231211008,231.21,1329.41,91.64
9,Remap,3168,12672,0.01,0.31,0,0,0,0
10,Remap,1600,6400,0.01,0.15,0,0,0,0
11,Remap,1600,6400,0.01,0.15,0,0,0,0
12,Remap,1600,6400,0.01,0.15,0,0,0,0
13,Remap,1600,6400,0.01,0.15,0,0,0,0
14,Conv,86766,347064,0.35,8.40,462422016,462.42,1332.38,91.85
15,MaxPool,14532,58128,0.06,1.41,0,0,0,0
16,Conv,44362,177448,0.18,4.29,144506880,144.51,814.36,56.14
17,Conv,27806,111224,0.11,2.69,90316800,90.32,812.03,55.98
18,Conv,27807,111228,0.11,2.69,90316800,90.32,812.00,55.97
19,Conv,27806,111224,0.11,2.69,90316800,90.32,812.03,55.98
20,Conv,27804,111216,0.11,2.69,90316800,90.32,812.08,55.98
21,Remap,816,3264,0.00,0.08,0,0,0,0
22,Remap,620,2480,0.00,0.06,0,0,0,0
23,Remap,620,2480,0.00,0.06,0,0,0,0
24,Remap,620,2480,0.00,0.06,0,0,0,0
25,Remap,620,2480,0.00,0.06,0,0,0,0
26,Conv,50506,202024,0.20,4.89,263323648,263.32,1303.43,89.85
27,MaxPool,8196,32784,0.03,0.79,0,0,0,0
28,Conv,24930,99720,0.10,2.41,86704128,86.70,869.48,59.94
29,Conv,9476,37904,0.04,0.92,32514048,32.51,857.80,59.13
30,Conv,9479,37916,0.04,0.92,32514048,32.51,857.53,59.11
31,Conv,9475,37900,0.04,0.92,32514048,32.51,857.89,59.14
32,Conv,9478,37912,0.04,0.92,32514048,32.51,857.62,59.12
33,Remap,448,1792,0.00,0.04,0,0,0,0
34,Remap,188,752,0.00,0.02,0,0,0,0
35,Remap,188,752,0.00,0.02,0,0,0,0
36,Remap,188,752,0.00,0.02,0,0,0,0
37,Remap,188,752,0.00,0.02,0,0,0,0
38,Conv,32146,128584,0.13,3.11,149323776,149.32,1161.29,80.05
39,MaxPool,3588,14352,0.01,0.35,0,0,0,0
40,Conv,10802,43208,0.04,1.05,37933056,37.93,877.92,60.52
41,Conv,3290,13160,0.01,0.32,11063808,11.06,840.71,57.95
42,Conv,3289,13156,0.01,0.32,11063808,11.06,840.97,57.97
43,Conv,3289,13156,0.01,0.32,11063808,11.06,840.97,57.97
44,Conv,3292,13168,0.01,0.32,11063808,11.06,840.20,57.92
45,Remap,224,896,0.00,0.02,0,0,0,0
46,Remap,96,384,0.00,0.01,0,0,0,0
47,Remap,96,384,0.00,0.01,0,0,0,0
48,Remap,96,384,0.00,0.01,0,0,0,0
49,Remap,96,384,0.00,0.01,0,0,0,0
50,Conv,16485,65940,0.07,1.60,66633728,66.63,1010.52,69.66
51,AveragePool,12676,50704,0.05,1.23,0,0,0,0
52,Fc,8499,33996,0.03,0.82,1024000,1.02,30.12,94.13
