round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,114587,30663,4141206,5183,13523,4305162
2,54708,30630,4148905,6986,16008,4257237
3,83710,52859,4140306,4895,11593,4293363
4,48603,30201,4151698,19943,33201,4283646
5,80022,38864,4144396,6032,13547,4282861
6,51786,30452,4140604,8912,15370,4247124
7,55817,31143,4173236,5967,14335,4280498
8,57531,30495,4168124,6883,13383,4276416
9,48586,30773,4255312,7243,18518,4360432
10,56966,31027,4255477,7470,16440,4367380
11,96964,66291,4232693,6934,15703,4418585
12,51006,32647,4173707,7764,16325,4281449
13,52674,32914,4174344,8497,21270,4289699
14,90900,71095,4224205,9152,20433,4415785
15,56891,81135,4208147,10654,22820,4379647
16,97257,74233,4207389,12039,26109,4417027
17,62264,84779,4189167,14272,31638,4382120
18,72335,77274,4143166,5533,15691,4313999
19,63708,30356,4155927,20044,41589,4311624
20,72226,30445,4138754,5167,9559,4256151
21,46757,30442,4142859,5778,16470,4242306
22,53672,30395,4152969,19363,39220,4295619
23,71193,30563,4201229,6404,15779,4325168
24,95889,65570,4170768,6314,14718,4353259
25,53033,32441,4148064,8128,21923,4263589
26,62381,32441,4142311,5870,12903,4255906
27,49222,31144,4146726,7450,17218,4251760
28,61300,32182,4173385,7034,19436,4293337
29,138561,32008,4234219,7015,15926,4427729
30,51105,31421,4140783,7855,13217,4244381
31,51390,31895,4177541,13307,20729,4294862
32,56158,32188,4144075,9216,18761,4260398
33,54743,32626,4224847,8597,19934,4340747
34,54827,32236,4167478,15584,21333,4291458
35,57623,34056,4185556,11959,26385,4315579
36,111972,35385,4185798,12904,30318,4376377
37,87540,37442,4213917,13624,31960,4384483
38,111838,84099,4214867,17310,41570,4469684
39,81274,41344,4201314,22010,50219,4396161
40,143551,47137,4241997,28885,86853,4548423
41,179352,65750,4205260,26008,58426,4534796
42,177885,66762,4218287,27740,60987,4551661
43,188459,68221,4210083,27026,55419,4549208
44,153589,65777,4167918,23093,56192,4466569
45,169897,68061,4210094,27318,57107,4532477
46,186962,100714,4168130,22253,49759,4527818
47,95854,45737,4204559,28428,101193,4475771
48,119606,128463,4245527,106744,140936,4741276
49,154396,127310,4295640,65284,45282,4687912
50,131751,59757,4176106,43594,50212,4461420
