ins_idx,latency(cycles),latency(ns)
1,38517,154068
2,149483,597932
3,149534,598136
4,48228,192912
5,148015,592060
6,2704,10816
7,20712,82848
8,20730,82920
9,140054,560216
10,57654,230616
11,57653,230612
12,140062,560248
13,3824,15296
14,156532,626128
15,33828,135312
16,1880,7520
17,23401,93604
18,11758,47032
19,11758,47032
20,67524,270096
21,34950,139800
22,34948,139792
23,23328,93312
24,52298,209192
25,956,3824
26,956,3824
27,956,3824
28,23327,93308
29,11835,47340
30,11759,47036
31,67524,270096
32,34906,139624
33,34905,139620
34,23361,93444
35,52298,209192
36,956,3824
37,956,3824
38,956,3824
39,23326,93304
40,11758,47032
41,11758,47032
42,67524,270096
43,34906,139624
44,34984,139936
45,23413,93652
46,52322,209288
47,956,3824
48,956,3824
49,956,3824
50,23327,93308
51,11753,47012
52,11757,47028
53,67524,270096
54,34898,139592
55,34991,139964
56,23330,93320
57,52306,209224
58,956,3824
59,956,3824
60,956,3824
61,159199,636796
62,34982,139928
63,17412,69648
64,206898,827592
65,62029,248116
66,944,3776
67,944,3776
68,47310,189240
69,24494,97976
70,24527,98108
71,46212,184848
72,41421,165684
73,32110,128440
74,16400,65600
75,48297,193188
76,42732,170928
77,48292,193168
78,48294,193176
79,944,3776
80,336,1344
81,640,2560
82,48837,195348
83,24495,97980
84,24494,97976
85,46212,184848
86,42800,171200
87,32125,128500
88,16404,65616
89,48295,193180
90,42771,171084
91,48295,193180
92,48295,193180
93,944,3776
94,336,1344
95,640,2560
96,48838,195352
97,24496,97984
98,24493,97972
99,46212,184848
100,42766,171064
101,32107,128428
102,16397,65588
103,48296,193184
104,42769,171076
105,48294,193176
106,48293,193172
107,944,3776
108,336,1344
109,640,2560
110,48836,195344
111,24529,98116
112,24538,98152
113,46212,184848
114,42737,170948
115,32204,128816
116,16399,65596
117,48295,193180
118,42772,171088
119,48293,193172
120,48295,193180
121,944,3776
122,336,1344
123,640,2560
124,48842,195368
125,24527,98108
126,24496,97984
127,46212,184848
128,42724,170896
129,32158,128632
130,16401,65604
131,48293,193172
132,42768,171072
133,48297,193188
134,48297,193188
135,944,3776
136,336,1344
137,640,2560
138,48843,195372
139,24527,98108
140,24543,98172
141,46212,184848
142,42765,171060
143,32110,128440
144,16480,65920
145,48297,193188
146,42736,170944
147,48295,193180
148,48296,193184
149,944,3776
150,336,1344
151,640,2560
152,48839,195356
153,24493,97972
154,24524,98096
155,46212,184848
156,42765,171060
157,32131,128524
158,16401,65604
159,48296,193184
160,42764,171056
161,48292,193168
162,48296,193184
163,336,1344
164,640,2560
165,640,2560
166,24531,98124
167,32611,130444
168,9348,37392
169,9446,37784
170,55158,220632
171,68906,275624
172,22281,89124
173,544,2176
174,192,768
175,11151,44604
176,14334,57336
177,14332,57328
178,13956,55824
179,8392,33568
180,8387,33548
181,12576,50304
182,11161,44644
183,16686,66744
184,11153,44612
185,11227,44908
186,160,640
187,160,640
188,160,640
189,160,640
190,160,640
191,11155,44620
192,14330,57320
193,14331,57324
194,13956,55824
195,8433,33732
196,8431,33724
197,12567,50268
198,11166,44664
199,16687,66748
200,11228,44912
201,11148,44592
202,160,640
203,160,640
204,160,640
205,160,640
206,160,640
207,11148,44592
208,14335,57340
209,14335,57340
210,13956,55824
211,8423,33692
212,8395,33580
213,12563,50252
214,11203,44812
215,16687,66748
216,11164,44656
217,11150,44600
218,160,640
219,160,640
220,160,640
221,160,640
222,160,640
223,49284,197136
224,25186,100744
