round_idx,t1(ns),t2(ns),t3(ns),t4(ns),t5(ns),total(ns)
1,201069,51405,25587609,65484,108970,26014537
2,256512,75933,25587113,9032,55067,25983657
3,202356,81731,25619161,3704,16077,25923029
4,112654,81453,25550016,4274,22332,25770729
5,131012,87202,25572033,6774,37843,25834864
6,172774,103794,25586697,8937,52473,25924675
7,200695,117873,25586613,9790,58721,25973692
8,216052,132508,25586745,9083,53272,25997660
9,202881,160069,25620447,80646,56233,26120276
10,136803,70829,25578770,10528,51165,25848095
11,331157,109175,25612725,102549,130513,26286119
12,229467,112936,25574437,66635,73315,26056790
13,149694,93302,25610423,99577,140870,26093866
14,257579,136509,25614230,113695,143019,26265032
15,258973,110645,25625003,92267,139094,26225982
16,239675,155468,25624294,64124,52692,26136253
17,147668,64856,25630054,103530,128246,26074354
18,224252,140667,25616771,26759,50258,26058707
19,151608,73848,25612840,114207,136319,26088822
20,261998,160038,25593052,77180,113983,26206251
21,223186,145161,25611874,93079,141181,26214481
22,240586,155064,25612518,105658,142518,26256344
23,357965,146304,25570127,68807,79926,26223129
24,160074,91531,25574265,77841,77011,25980722
25,153670,100074,25660788,66127,76844,26057503
26,153911,92799,25575853,65124,53422,25941109
27,130619,114053,25573277,71916,95875,25985740
28,179488,124344,25614688,104359,157693,26180572
29,249897,157625,25627058,108780,150224,26293584
30,204147,64846,25615019,108030,147211,26139253
31,234705,156478,25607229,118525,108827,26225764
32,224769,141467,25616967,113933,151208,26248344
33,238975,163864,25621392,108997,152035,26285263
34,379699,157429,25619625,101324,145352,26403429
35,222029,148803,25614237,117777,151240,26254086
36,211207,104188,25620876,101547,127762,26165580
37,213703,102298,25614607,96106,134935,26161649
38,247854,149445,25619776,59548,98382,26175005
39,210186,155903,25593709,96792,65168,26121758
40,153874,115906,25552843,14622,33259,25870504
41,186908,115573,25594012,85590,117245,26099328
42,189873,133642,25625432,117371,100480,26166798
43,186075,166765,25607578,123658,140998,26225074
44,243991,151877,25615962,105720,151524,26269074
45,206685,103807,25621901,107880,152992,26193265
46,377007,142786,25616104,94616,137286,26367799
47,212358,118594,25623829,109865,152925,26217571
48,210391,145245,25633892,110430,109032,26208990
49,204808,144580,25609300,77319,170162,26206169
50,246219,146300,25620502,117499,141388,26271908
