ins_idx,latency(cycles),latency(ns)
1,10227,40908
2,10264,41056
3,2479,9916
4,20310,81240
5,1824,7296
6,20341,81364
7,818,3272
8,818,3272
9,6915,27660
10,20310,81240
11,2479,9916
12,20309,81236
13,1824,7296
14,20346,81384
15,1602,6408
16,818,3272
17,818,3272
18,17975,71900
19,32984,131936
20,4309,17236
21,24798,99192
22,2262,9048
23,24838,99352
24,1014,4056
25,622,2488
26,12526,50104
27,37104,148416
28,4309,17236
29,24797,99188
30,2263,9052
31,24796,99184
32,1014,4056
33,1014,4056
34,622,2488
35,27607,110428
36,40873,163492
37,4991,19964
38,25939,103756
39,2586,10344
40,25952,103808
41,294,1176
42,294,1176
43,13141,52564
44,43103,172412
45,5003,20012
46,25946,103784
47,2590,10360
48,25945,103780
49,554,2216
50,554,2216
51,294,1176
52,30727,122908
53,66182,264728
54,140958,563832
55,130374,521496
56,21074,84296
57,8364,33456
58,16831,67324
