ins_idx,latency(cycles),latency(ns)
1,36668,146672
2,10159,40636
3,6658,26632
4,1939,7756
5,13832,55328
6,6658,26632
7,12576,50304
8,6683,26732
9,13832,55328
10,6658,26632
11,12576,50304
12,6682,26728
13,13866,55464
14,6658,26632
15,12576,50304
16,13883,55532
17,6979,27916
18,15592,62368
19,7086,28344
20,6304,25216
21,7052,28208
22,15595,62380
23,7048,28192
24,6304,25216
25,7054,28216
26,15597,62388
27,7048,28192
28,6304,25216
29,7052,28208
30,15593,62372
31,7085,28340
32,6304,25216
33,18776,75104
34,5920,23680
35,19841,79364
36,9002,36008
37,3360,13440
38,9036,36144
39,19841,79364
40,9002,36008
41,3360,13440
42,9037,36148
43,19841,79364
44,9003,36012
45,3360,13440
46,9036,36144
47,19841,79364
48,10194,40776
49,3360,13440
50,10204,40816
51,19841,79364
52,10193,40772
53,3360,13440
54,10192,40768
55,19841,79364
56,10194,40776
57,3360,13440
58,24261,97044
59,6913,27652
60,26346,105384
61,11890,47560
62,2080,8320
63,11890,47560
64,26347,105388
65,11890,47560
66,2080,8320
67,11890,47560
68,26346,105384
69,11890,47560
70,2080,8320
71,50376,201504
72,33521,134084
