ins_idx,latency(cycles),latency(ns)
1,68948,275792
2,14362,57448
3,2584,10336
4,1787,7148
5,3476,13904
6,1496,5984
7,4812,19248
8,1787,7148
9,3476,13904
10,1496,5984
11,4811,19244
12,3275,13100
13,12929,51716
14,2960,11840
15,14034,56136
16,2619,10476
17,1067,4268
18,3577,14308
19,768,3072
20,2620,10480
21,1463,5852
22,7644,30576
23,1136,4544
24,3764,15056
25,1463,5852
26,7643,30572
27,1136,4544
28,3763,15052
29,1858,7432
30,13335,53340
31,1504,6016
32,7124,28496
33,1445,5780
34,706,2824
35,3578,14312
36,384,1536
37,17699,70796
38,84700,338800
