ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,223824,895296,0.90,30.05,335329344,335.33,374.55,25.82
2,MaxPool,39876,159504,0.16,5.35,0,0,0,0
3,Conv,6975,27900,0.03,0.94,8957952,8.96,321.07,22.13
4,Conv,3137,12548,0.01,0.42,5971968,5.97,475.93,32.81
5,Conv,10354,41416,0.04,1.39,53747712,53.75,1297.75,89.46
6,Remap,1496,5984,0.01,0.20,0,0,0,0
7,Conv,13745,54980,0.05,1.85,17915904,17.92,325.86,22.46
8,Conv,3137,12548,0.01,0.42,5971968,5.97,475.93,32.81
9,Conv,10356,41424,0.04,1.39,53747712,53.75,1297.50,89.44
10,Remap,1496,5984,0.01,0.20,0,0,0,0
11,Conv,13743,54972,0.05,1.85,35831808,35.83,651.82,44.93
12,Conv,6081,24324,0.02,0.82,23887872,23.89,982.07,67.70
13,Conv,40830,163320,0.16,5.48,214990848,214.99,1316.38,90.74
14,Remap,2960,11840,0.01,0.40,0,0,0,0
15,MaxPool,39876,159504,0.16,5.35,0,0,0,0
16,Conv,6972,27888,0.03,0.94,17915904,17.92,642.42,44.28
17,Conv,1665,6660,0.01,0.22,5971968,5.97,896.69,61.81
18,Conv,10356,41424,0.04,1.39,53747712,53.75,1297.50,89.44
19,Remap,768,3072,0.00,0.10,0,0,0,0
20,Conv,6974,27896,0.03,0.94,26873856,26.87,963.36,66.41
21,Conv,2737,10948,0.01,0.37,13436928,13.44,1227.34,84.61
22,Conv,23056,92224,0.09,3.10,120932352,120.93,1311.29,90.39
23,Remap,1136,4544,0.00,0.15,0,0,0,0
24,Conv,10355,41420,0.04,1.39,40310784,40.31,973.22,67.09
25,Conv,2738,10952,0.01,0.37,13436928,13.44,1226.89,84.57
26,Conv,23058,92232,0.09,3.10,120932352,120.93,1311.18,90.38
27,Remap,1136,4544,0.00,0.15,0,0,0,0
28,Conv,10353,41412,0.04,1.39,53747712,53.75,1297.88,89.47
29,Conv,4716,18864,0.02,0.63,23887872,23.89,1266.32,87.29
30,Conv,40832,163328,0.16,5.48,214990848,214.99,1316.31,90.74
31,Remap,1504,6016,0.01,0.20,0,0,0,0
32,MaxPool,20868,83472,0.08,2.80,0,0,0,0
33,Conv,3731,14924,0.01,0.50,16613376,16.61,1113.20,76.74
34,Conv,1380,5520,0.01,0.19,5537792,5.54,1003.22,69.16
35,Conv,10801,43204,0.04,1.45,49840128,49.84,1153.60,79.52
36,Remap,384,1536,0.00,0.05,0,0,0,0
37,Conv,56730,226920,0.23,7.62,259584000,259.58,1143.95,78.86
38,AveragePool,84632,338528,0.34,11.36,0,0,0,0
