ins_idx,latency(cycles),latency(ns)
1,223824,895296
2,39876,159504
3,6975,27900
4,3137,12548
5,10354,41416
6,1496,5984
7,13745,54980
8,3137,12548
9,10356,41424
10,1496,5984
11,13743,54972
12,6081,24324
13,40830,163320
14,2960,11840
15,39876,159504
16,6972,27888
17,1665,6660
18,10356,41424
19,768,3072
20,6974,27896
21,2737,10948
22,23056,92224
23,1136,4544
24,10355,41420
25,2738,10952
26,23058,92232
27,1136,4544
28,10353,41412
29,4716,18864
30,40832,163328
31,1504,6016
32,20868,83472
33,3731,14924
34,1380,5520
35,10801,43204
36,384,1536
37,56730,226920
38,84632,338528
