ins_idx,ins_type,latency(cycles),latency(ns),latency(ms),latency_contrib(%),operations(OP),operations(MOP),throughput(GOP/s),efficiency(%)
1,Conv,50451,201804,0.20,1.26,173408256,173.41,859.29,14.81
2,Conv,319054,1276216,1.28,7.95,3699376128,3699.38,2898.71,49.95
3,MaxPool,44260,177040,0.18,1.10,0,0,0,0
4,Conv,79980,319920,0.32,1.99,1849688064,1849.69,5781.72,99.64
5,Conv,159671,638684,0.64,3.98,3699376128,3699.38,5792.19,99.82
6,MaxPool,17458,69832,0.07,0.43,0,0,0,0
7,Conv,79980,319920,0.32,1.99,1849688064,1849.69,5781.72,99.64
8,Conv,159671,638684,0.64,3.98,3699376128,3699.38,5792.19,99.82
9,Conv,159671,638684,0.64,3.98,3699376128,3699.38,5792.19,99.82
10,Conv,159671,638684,0.64,3.98,3699376128,3699.38,5792.19,99.82
11,MaxPool,8180,32720,0.03,0.20,0,0,0,0
12,Conv,84859,339436,0.34,2.11,1849688064,1849.69,5449.30,93.91
13,Conv,169429,677716,0.68,4.22,3699376128,3699.38,5458.59,94.07
14,Conv,169429,677716,0.68,4.22,3699376128,3699.38,5458.59,94.07
15,Conv,169429,677716,0.68,4.22,3699376128,3699.38,5458.59,94.07
16,MaxPool,4651,18604,0.02,0.12,0,0,0,0
17,Conv,52332,209328,0.21,1.30,924844032,924.84,4418.16,76.14
18,Conv,52332,209328,0.21,1.30,924844032,924.84,4418.16,76.14
19,Conv,52332,209328,0.21,1.30,924844032,924.84,4418.16,76.14
20,Conv,52332,209328,0.21,1.30,924844032,924.84,4418.16,76.14
21,MaxPool,1190,4760,0.00,0.03,0,0,0,0
22,Fc,1634923,6539692,6.54,40.72,205520896,205.52,31.43,98.21
23,Fc,267074,1068296,1.07,6.65,33554432,33.55,31.41,98.15
24,Fc,66885,267540,0.27,1.67,8192000,8.19,30.62,95.69
