ins_idx,latency(cycles),latency(ns)
1,21843,87372
2,173328,693312
3,86766,347064
4,86766,347064
5,43484,173936
6,43481,173924
7,43480,173920
8,43480,173920
9,3168,12672
10,1600,6400
11,1600,6400
12,1600,6400
13,1600,6400
14,86766,347064
15,14532,58128
16,44362,177448
17,27806,111224
18,27807,111228
19,27806,111224
20,27804,111216
21,816,3264
22,620,2480
23,620,2480
24,620,2480
25,620,2480
26,50506,202024
27,8196,32784
28,24930,99720
29,9476,37904
30,9479,37916
31,9475,37900
32,9478,37912
33,448,1792
34,188,752
35,188,752
36,188,752
37,188,752
38,32146,128584
39,3588,14352
40,10802,43208
41,3290,13160
42,3289,13156
43,3289,13156
44,3292,13168
45,224,896
46,96,384
47,96,384
48,96,384
49,96,384
50,16485,65940
51,12676,50704
52,8499,33996
